                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70948,                0.66211,                 1.1128,                0.85028,                0.83758,                 0.8657,                0.68675,                0.70606,                 0.5222,                 1.1301,             0.00054478,             0.00054478,             0.00054478
                     36,                0.68528,                0.63785,                 1.0969,                0.76743,                  0.786,                0.81379,                0.67284,                 0.6581,                0.53261,                 1.0873,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.6704,                0.63644,                 1.0891,                0.80666,                  0.838,                0.82934,                0.67681,                0.65373,                0.48316,                   1.08,             0.00047876,             0.00047876,             0.00047876
                     38,                0.68166,                0.63992,                 1.1021,                0.85196,                0.78324,                0.84239,                0.69573,                0.64114,                 0.4932,                 1.0542,             0.00044576,             0.00044576,             0.00044576
                     39,                0.64558,                0.59669,                  1.076,                0.76822,                0.88986,                0.83544,                0.67213,                0.68287,                0.47804,                 1.1042,             0.00041275,             0.00041275,             0.00041275
                     40,                0.66087,                0.63354,                  1.099,                0.80534,                  0.831,                0.83647,                0.69063,                 0.6414,                0.53111,                 1.0619,             0.00037974,             0.00037974,             0.00037974
                     41,                0.58561,                0.51537,                 1.0577,                 0.7724,                0.86942,                0.84079,                0.68428,                0.65819,                0.47506,                 1.0747,             0.00034674,             0.00034674,             0.00034674
                     42,                0.55973,                0.48882,                 1.0252,                 0.8382,                0.87677,                0.86363,                0.70796,                  0.659,                0.46271,                 1.0849,             0.00031373,             0.00031373,             0.00031373
                     43,                0.54964,                0.46683,                 1.0134,                0.79792,                0.79247,                0.80257,                0.65868,                0.65171,                0.46691,                 1.0759,             0.00028072,             0.00028072,             0.00028072
                     44,                0.54206,                0.46114,                 1.0176,                0.80087,                0.83458,                0.83655,                0.69543,                0.63816,                0.46199,                 1.0693,             0.00024772,             0.00024772,             0.00024772
                     45,                0.52208,                0.44241,                 1.0148,                0.81552,                0.85373,                0.86144,                 0.7141,                0.63088,                0.44049,                 1.0819,             0.00021471,             0.00021471,             0.00021471
                     46,                0.51226,                0.43858,                0.99429,                0.80303,                0.85708,                0.84836,                0.70125,                0.64192,                0.46193,                 1.0866,              0.0001817,              0.0001817,              0.0001817
                     47,                0.51206,                0.44304,                 1.0037,                0.82599,                0.80235,                0.84454,                0.68828,                0.62123,                  0.447,                 1.0753,              0.0001487,              0.0001487,              0.0001487
                     48,                0.49579,                0.41564,                0.98857,                0.80669,                0.83002,                0.85355,                0.70412,                0.63269,                0.43168,                 1.0902,             0.00011569,             0.00011569,             0.00011569
                     49,                0.48083,                0.40362,                0.97884,                0.78804,                0.88124,                0.85917,                0.70029,                0.61804,                0.43347,                 1.0714,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.48063,                0.40733,                0.97936,                0.82676,                0.83017,                0.84759,                0.69969,                 0.6239,                0.44533,                 1.0742,             4.9677e-05,             4.9677e-05,             4.9677e-05
